2024-11-28 06:22:16,519 - INFO - thhis is logger
2024-11-28 06:22:16,521 - INFO - Generated 1000 transactions.
2024-11-28 06:22:16,542 - INFO - Detected 363 fraudulent transactions:
2024-11-28 06:22:16,542 - INFO - {'transaction_id': 1, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 5, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 7, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 10, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 11, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 14, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 15, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 16, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 19, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 20, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 23, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 24, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 25, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 26, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 29, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 31, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,543 - INFO - {'transaction_id': 32, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 34, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 35, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 37, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 44, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 46, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 55, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 62, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 67, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 68, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 76, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 81, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 83, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 87, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 90, 'rules_triggered': {'large_amount': False, 'rapid_transaction': False, 'unusual_location': True}}
2024-11-28 06:22:16,544 - INFO - {'transaction_id': 91, 'rules_triggered': {'large_amount': True, 'rapid_transaction': False, 'unusual_location': False}}
